engagement,contempt
72.9835,0.2145
29.0074,0.223
1.0829,0.1947
0.1655,0.1933
0.1266,0.1928
0.146,0.1928
0.1182,0.1928
0.0,0.0
0.0,0.0
,
,
0.0866,93.3396
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.4876,3.8704
0.1274,0.1908
3.3344,0.1923
9.5167,0.1931
24.7248,0.1961
2.0023,0.1944
0.3753,0.1934
0.2155,0.1933
0.5408,0.1936
0.4519,0.193
0.7843,0.1931
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.527,0.193
0.1984,0.1929
0.1319,0.1928
0.1406,0.193
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0841,0.2431
0.4547,0.3929
0.1243,0.2069
0.1261,0.1957
0.1326,0.1937
0.1082,0.1932
0.1006,0.1935
0.0955,0.1935
0.0923,0.1933
0.0928,0.1931
0.091,0.193
0.0916,0.193
0.0958,0.1929
0.0969,0.193
0.1031,0.193
0.1233,0.193
0.1142,0.193
0.1094,0.193
0.1041,0.193
0.1024,0.1931
0.104,0.193
0.1116,0.1929
0.1107,0.1929
0.1178,0.1928
0.1416,0.1928
0.2053,0.1928
0.194,0.1928
0.249,0.1928
0.2985,0.1928
0.6535,0.1928
0.8123,0.1928
1.7314,0.1928
1.4092,0.1928
1.3211,0.1929
1.3518,0.193
1.4851,0.1931
0.8859,0.1932
0.824,0.1931
0.6803,0.1932
0.3027,0.1931
0.2451,0.1932
0.2925,0.1932
0.23,0.1935
0.1922,0.1933
0.1434,0.1936
0.1227,0.1938
0.1156,0.194
0.1099,0.1948
0.1004,0.1976
0.0964,0.1966
0.0931,0.1959
0.0921,0.1958
0.0915,0.1971
0.1031,0.1984
0.0992,0.1963
0.1177,0.1955
0.1144,0.1956
0.11,0.195
0.1037,0.1944
0.0979,0.1941
0.0988,0.194
0.0951,0.1939
0.0951,0.194
0.0936,0.1943
0.0941,0.1939
0.0964,0.194
0.096,0.1935
0.1035,0.1935
0.1044,0.1935
0.1013,0.1934
0.1057,0.1933
0.1077,0.1931
0.1143,0.193
0.138,0.193
0.1165,0.193
0.1176,0.193
0.1432,0.1929
0.1855,0.1928
0.1992,0.1928
0.2446,0.1927
0.2271,0.1927
0.2339,0.1927
0.2505,0.1927
0.2713,0.1927
0.2798,0.1927
0.2792,0.1927
0.2455,0.1927
0.2952,0.1927
0.2843,0.1927
0.2742,0.1927
0.2424,0.1927
0.2322,0.1927
0.2014,0.1927
0.1875,0.1927
0.1674,0.1927
0.1443,0.1927
0.1544,0.1927
0.142,0.1927
0.135,0.1927
0.1244,0.1927
0.1166,0.1927
0.111,0.1927
0.1077,0.1927
0.1022,0.1927
0.097,0.1927
0.0944,0.1927
0.0909,0.1927
0.0897,0.1927
0.0882,0.1927
0.0887,0.1927
0.0906,0.1927
0.0917,0.1927
0.0931,0.1927
0.0948,0.1927
0.0956,0.1927
0.0974,0.1927
0.1011,0.1927
0.1027,0.1927
0.1027,0.1927
0.1021,0.1927
0.1002,0.1927
0.0974,0.1927
0.0936,0.1927
0.0913,0.1927
0.0887,0.1927
0.0873,0.1927
0.0888,0.1927
0.0907,0.1927
0.0928,0.1927
0.0922,0.1927
0.0986,0.1927
0.1025,0.1927
0.0991,0.1927
0.0939,0.1927
0.0922,0.1927
0.092,0.1928
0.0952,0.1927
0.1021,0.1928
0.0881,0.1928
0.0909,0.1928
0.0911,0.1928
0.0903,0.1928
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.9016,99.1839
59.6063,97.9167
0.2464,0.2414
3.7834,0.2341
2.8467,0.2002
0.7505,0.2004
0.846,0.1991
0.8711,0.1948
0.2942,0.1934
0.3512,0.1932
0.3319,0.1929
0.3081,0.1927
,
0.1649,0.1931
0.2363,0.1932
0.1088,0.1931
0.1667,0.1929
0.0,0.0
,
,
,
,
,
,
,
0.1308,0.1978
0.087,0.1928
0.2195,0.1927
0.0893,0.1927
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0848,98.7142
0.1165,98.2799
0.1056,64.0127
0.0,0.0
0.0955,30.7875
,
,
,
,
,
,
,
0.0956,21.7317
0.3638,0.1929
1.9747,0.1926
29.8795,0.1927
19.6039,0.1927
37.4162,0.1927
20.2538,0.1927
28.4368,0.1927
14.6313,0.1927
3.2163,0.1927
1.5063,0.1928
1.1876,0.1928
0.3198,0.1928
0.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
37.409,0.1928
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.1369,98.2059
