engagement,contempt
0.0809,0.1927
0.0812,0.1927
0.0812,0.1927
0.0812,0.1927
0.0813,0.1927
0.0818,0.1927
0.0818,0.1927
0.0818,0.1927
0.0818,0.1927
0.0817,0.1927
0.0826,0.1927
0.0832,0.1927
0.0824,0.1927
0.0817,0.1927
0.0814,0.1927
0.0812,0.1927
0.0811,0.1927
0.081,0.1927
0.0808,0.1927
0.0813,0.1927
0.0818,0.1927
0.0811,0.1927
0.0809,0.1927
0.0814,0.1927
0.0812,0.1928
0.0828,0.1928
0.0829,0.1928
0.0835,0.1928
0.0866,0.1928
0.0885,0.1928
0.0892,0.1928
0.0886,0.1927
0.0876,0.1926
0.0875,0.1926
0.0924,0.1925
0.0963,0.1925
0.0967,0.1924
0.0993,0.1924
0.0936,0.1925
0.0949,0.1925
0.0947,0.1926
0.0909,0.1926
0.09,0.1926
0.0906,0.1926
0.0905,0.1924
0.0913,0.1924
0.0886,0.1924
0.0892,0.1924
0.0866,0.1923
0.0886,0.1924
0.0886,0.1924
0.0899,0.1925
0.0971,0.1924
0.1074,0.1923
0.1122,0.1923
0.111,0.1923
0.1135,0.1925
0.113,0.1925
0.1105,0.1925
0.105,0.1925
0.1004,0.1926
0.1004,0.1927
0.0957,0.1927
0.0942,0.1926
0.0909,0.1926
0.0868,0.1925
0.0828,0.1924
0.0822,0.1925
0.082,0.1925
0.0821,0.1925
0.083,0.1925
0.0832,0.1925
0.0836,0.1925
0.0832,0.1925
0.0849,0.1925
0.088,0.1925
0.0923,0.1925
0.0923,0.1925
0.0928,0.1925
0.0989,0.1924
0.1186,0.1922
0.1354,0.1918
0.1348,0.1915
0.1495,0.191
0.1393,0.19
0.1223,0.189
0.1019,0.1876
0.0948,0.1858
0.0968,0.1844
0.1014,0.1835
0.1145,0.1792
0.1353,0.1709
0.1671,0.1613
0.2114,0.156
1.0441,0.1468
1.3782,0.1321
1.6804,0.1052
9.2718,0.074
12.6633,0.0524
43.7331,0.0367
74.8422,0.0257
53.076,0.0143
52.0513,0.0078
51.6307,0.0051
63.209,0.0035
68.6489,0.0031
82.5222,0.002
89.9229,0.0015
94.2064,0.0011
97.7819,0.0006
99.103,0.0004
99.4625,0.0003
99.6498,0.0002
99.7396,0.0002
99.7725,0.0002
99.7873,0.0002
99.8145,0.0002
99.8373,0.0002
99.8525,0.0002
99.8624,0.0001
99.867,0.0001
99.867,0.0001
99.8736,0.0001
99.8772,0.0001
99.8823,0.0001
99.8828,0.0001
99.8839,0.0001
99.8865,0.0001
99.8857,0.0001
99.8844,0.0001
99.8734,0.0001
99.8647,0.0001
99.8513,0.0002
99.8359,0.0002
99.8153,0.0002
99.7985,0.0002
99.7639,0.0002
99.7217,0.0002
99.6438,0.0002
99.5537,0.0003
99.4769,0.0003
99.3822,0.0003
99.2817,0.0004
98.6765,0.0005
98.1975,0.0006
97.7028,0.0007
96.4361,0.0008
93.4221,0.0012
90.2065,0.0015
84.3808,0.002
78.35,0.0024
69.404,0.0031
70.9304,0.003
73.4669,0.0027
80.1404,0.0022
87.4591,0.0017
89.7008,0.0015
91.9214,0.0013
93.4548,0.0011
94.8602,0.001
96.0303,0.0009
96.8497,0.0008
97.2581,0.0007
97.1901,0.0007
97.1243,0.0007
97.0134,0.0007
96.3257,0.0008
97.667,0.0006
98.4228,0.0007
98.966,0.0007
98.1803,0.0006
98.7623,0.0005
98.7293,0.0005
98.9657,0.0004
98.996,0.0004
98.8769,0.0004
98.6174,0.0005
98.2992,0.0005
98.4157,0.0005
97.6008,0.0007
97.7337,0.0006
97.4625,0.0007
96.1989,0.0008
91.099,0.0014
91.2517,0.0014
89.7808,0.0015
90.0853,0.0015
90.474,0.0015
89.8903,0.0015
87.8514,0.0017
82.6645,0.0022
85.5673,0.0027
96.8927,0.0024
96.3446,0.0021
95.4334,0.0022
90.7013,0.0023
91.5452,0.0018
90.3211,0.0015
91.0898,0.0014
93.3475,0.0012
92.7203,0.0012
92.817,0.0012
97.1604,0.0011
99.618,0.001
99.836,0.0011
99.8859,0.0013
99.8507,0.0013
99.6336,0.0009
99.2493,0.001
97.1085,0.0009
96.3906,0.0008
96.9229,0.0008
97.2949,0.0007
97.9254,0.0006
98.548,0.0005
98.5867,0.0005
98.2183,0.0006
98.8037,0.0007
96.9172,0.0008
97.3093,0.0007
96.7999,0.0008
94.6112,0.001
94.6884,0.001
94.2835,0.0011
95.3297,0.0009
95.8611,0.0009
94.1366,0.0011
93.701,0.0011
93.0954,0.0012
96.591,0.0008
97.3773,0.0007
98.1403,0.0006
98.3858,0.0005
98.0807,0.0006
97.9488,0.0006
98.0592,0.0006
98.183,0.0006
97.6968,0.0006
97.2433,0.0007
97.9025,0.0006
98.4711,0.0005
99.0951,0.0004
99.2315,0.0004
99.2627,0.0003
99.0536,0.0004
98.5334,0.0005
97.5362,0.0007
97.3139,0.0007
96.8796,0.0007
94.5238,0.001
95.7222,0.0009
95.8244,0.0009
94.2214,0.0011
91.9738,0.0013
90.7606,0.0014
83.9475,0.0019
66.9175,0.0031
53.7046,0.0042
34.7338,0.0063
26.853,0.0077
20.2101,0.0094
22.2511,0.0089
26.3359,0.0078
29.8339,0.0071
38.7914,0.0066
58.3691,0.0075
57.2038,0.0084
66.3823,0.0101
57.4058,0.0076
44.4578,0.0069
38.7088,0.0069
35.4051,0.0091
32.6023,0.011
29.6338,0.0081
26.692,0.0109
25.6976,0.0136
28.4405,0.0099
14.1677,0.012
6.1951,0.019
4.3625,0.023
5.3225,0.0206
7.2361,0.0174
10.3134,0.0142
5.0083,0.0213
3.0914,0.0278
2.6724,0.03
2.2888,0.0326
1.0473,0.0495
0.8629,0.0549
0.5365,0.0706
0.4587,0.0767
0.4417,0.0782
0.3887,0.0837
0.5285,0.0712
0.5438,0.0701
0.605,0.0663
0.5076,0.0728
0.3749,0.0855
0.415,0.0812
0.3833,0.0847
0.3173,0.0937
0.3363,0.0911
0.4185,0.0814
0.4204,0.0815
0.3527,0.0899
0.3495,0.091
0.2959,0.0994
0.3249,0.0951
0.3658,0.0893
0.2961,0.1001
0.2318,0.1141
0.2092,0.121
0.203,0.1357
0.2763,0.1424
0.2825,0.1514
0.2818,0.1587
0.2277,0.1662
0.1789,0.172
0.1512,0.174
0.1454,0.1743
0.1447,0.1718
0.1558,0.1738
0.1652,0.1777
0.1522,0.178
0.1657,0.178
0.2227,0.18
0.2467,0.181
0.3032,0.1767
0.3629,0.1733
0.4213,0.1742
0.5133,0.17
0.2967,0.1616
0.2648,0.1555
0.2608,0.1454
0.4371,0.1288
0.7373,0.1075
0.5065,0.0876
0.7335,0.0646
1.2004,0.0504
1.8675,0.0401
3.2895,0.0298
4.0482,0.0271
7.7294,0.0192
7.8686,0.0194
12.8791,0.0148
24.8906,0.0097
49.1479,0.0054
66.1081,0.0037
74.3347,0.0029
84.8062,0.0021
89.8312,0.0016
92.1751,0.0014
94.3686,0.0012
95.6063,0.001
96.2822,0.0009
95.9527,0.0009
95.6891,0.0009
96.7744,0.0008
96.8652,0.0008
97.1474,0.0007
97.5373,0.0007
97.9783,0.0006
96.4706,0.0008
91.9983,0.0013
75.7216,0.0025
59.3236,0.0038
30.3853,0.0071
14.4079,0.0116
4.4606,0.0228
1.7677,0.0376
1.1177,0.048
0.6886,0.062
0.5358,0.0708
0.4501,0.0776
0.3982,0.0828
0.3192,0.0931
0.2849,0.0987
0.2347,0.1093
0.1965,0.1219
0.2035,0.1346
0.2988,0.1447
1.6812,0.1576
3.1023,0.1646
1.5326,0.1714
0.9842,0.1775
0.5049,0.1824
0.4176,0.184
0.4669,0.1823
0.3099,0.1806
0.3526,0.1766
0.4614,0.1732
0.4604,0.1708
0.4806,0.162
0.4775,0.1504
0.4393,0.1476
0.5663,0.1431
